"","X_Aster_subulatus","X_Asteraceae_A__prickly_","X_Briza_maxima","X_Bromus_diandrus","X_Conyza_albida","X_Conyza_bonariensis","X_Cynodon_dactylon","X_Cyperus_tenuiflorus","X_Ehrharta_calycina","X_Fumaria_capreolata","X_Hypochaeris_glabra","X_Isolepis_prolifera","X_Lactuca_serriola","X_Lotus_subbiflorus","X_Lysimachia_arvensis","X_Moraea_flaccida","X_Pelargonium_capitatum","X_Pennisetum_clandestinum","X_Phyla_nodiflora","X_Rumex_crispus","X_Schinus_molle","X_Setaria_palmifolia","X_Solanum_nigrum","X_Sonchus_oleraceus","X_Sparaxis_bulbifera","X_Stachys_arvensis","X_Typha_orientalis","X_Vicia_sativa","X_Zantedeschia_aethiopica","Acacia_saligna","Agrostis_avenacea","Baumea_articulata","Centella_asiatica","Eucalyptus_rudis","Juncus_pallidus","Lepidosperma_gladiatum","Melaleuca_rhaphiophylla","Microtis_media","Persicaria_sp_"
"X_Hypochaeris_glabra",-0.148380188992017,-0.00582509333898121,0.415355350663451,-0.0674715035255888,0.00503622553792685,0.0226283157470386,-0.132944837067525,0.378644095437505,-0.355181487182818,-0.107954294990356,1,-0.0194853384741301,0.00811040529533039,0.0145026218183622,0.0369475160359818,-0.13295399905092,0.411585799316397,-0.0768349705450259,0.0216146165475725,0.37810217342954,-0.350291233592681,-0.514928453372524,0.20512138828181,0.514690605175834,-0.213308009091491,-0.86776567149937,-0.6268475831769,0.110757334889262,-0.254513580171671,0.386973424937067,0.0771200547704659,-0.883199054526876,-0.202360237985612,-0.388232288819715,0.213453643126733,-0.899961739438227,-0.2847479613988,-0.191229951390213,-0.418292873155793
"X_Isolepis_prolifera",-0.0724742104261583,-0.0492329555957355,-0.14061983776266,-0.099505468139895,-0.0671920147455657,-0.0274352501102623,-0.146777163797574,-0.0938656932704812,-0.463927133146156,-0.357452497774364,-0.0194853384741301,1,-0.0113292539777627,-0.0141596161149924,-0.0144700368020949,-0.102594373505491,-0.140929459682732,-0.122890311851606,-0.0230453827857786,-0.00880691128517608,-0.266904571184647,-0.320335208211519,-0.0483376596532812,-0.0456670488414024,-0.264659435807557,-0.664153586944169,-0.319944939031937,-0.308798348347534,-0.0730713851468035,-0.0413727135576748,-0.000530632517785896,-0.685725566652843,-0.181637389675061,-0.412084039396936,-0.135151449974032,-0.703564257138297,-0.274518469692957,-0.45210523185032,-0.19058225538295
"X_Lactuca_serriola",-0.0590085822752184,-0.0378855370577256,-0.0609100751269438,-0.0702511192973678,-0.0312991383960673,-0.00954219567148863,-0.126942237932228,-0.0511082713783974,-0.400788319853756,-0.243637591970209,0.00811040529533039,-0.0113292539777627,1,-0.00117007989908624,0.00572787090584989,-0.0873497417651891,-0.0595622850937334,-0.100170120007956,-0.00180566594768924,0.0269641062945015,-0.290180490069191,-0.316913527291959,-0.000810128092794743,0.00240068394255287,-0.243344299821012,-0.790051192344621,-0.347239958380717,-0.1847405503432,-0.0553162088867711,-0.00818659040230606,0.014530649536945,-0.826850041766552,-0.202728126167931,-0.401339132380042,-0.058243112087727,-0.845677198785144,-0.28286871002897,-0.353716702566812,-0.148895658883724
"X_Lotus_subbiflorus",-0.0404191246532666,-0.0191820258847575,-0.0258783133283423,-0.0514812751220884,-0.0248001057584332,-0.00565308422572817,-0.0880599841959395,-0.0161950502799503,-0.281989381517783,-0.174731798722087,0.0145026218183622,-0.0141596161149924,-0.00117007989908624,1,0.000531098418821037,-0.062725693609857,-0.0136233231632336,-0.060137936611157,-0.017703460136104,0.0179943914918232,-0.215449451150428,-0.237211147768211,0.00907439507725525,0.0139566125405931,-0.129142662130242,-0.670405021455818,-0.299989642325912,-0.109778866805116,-0.0667418662972846,-0.000200909882117304,0.00541463817213569,-0.768294397177456,-0.131808882430063,-0.313692549098696,-0.0345062508231761,-0.737832579385729,-0.230991564929972,-0.235234530320771,-0.169140352634134
"X_Lysimachia_arvensis",-0.0523218613792315,-0.0346551062418651,-0.0441379448420746,-0.0926841204448909,-0.0318479551142819,-0.00933575242097994,-0.140869978712307,-0.0361109257707808,-0.405269709369897,-0.280472178162309,0.0369475160359817,-0.0144700368020949,0.00572787090584989,0.000531098418821037,1,-0.0865507897264507,-0.0393658204396746,-0.0953530650643234,0.0115284043688622,0.0465666734727099,-0.286320981543422,-0.335310252523382,0.0107647268791404,0.0301915559985919,-0.274038347564665,-0.784317068930293,-0.350931478797694,-0.175788982079339,-0.0391643017569657,0.00443349561552615,0.0156997262736829,-0.824494215563569,-0.187524207459874,-0.420970132456035,-0.0405998901879162,-0.799001238964183,-0.299376996689129,-0.396543527306881,-0.157080293483577
"X_Moraea_flaccida",-0.0382819200282329,-0.0746589543390586,-0.187696851023365,-0.0708174767945114,-0.0710240257678667,-0.0783621640063053,-0.0926309856507914,-0.168309441730986,-0.292090981696552,-0.22116816391312,-0.13295399905092,-0.102594373505491,-0.0873497417651891,-0.062725693609857,-0.0865507897264507,1,-0.177610615276544,-0.065031903018331,-0.0798809494857489,-0.132696551243667,-0.128495968459898,-0.114565316213863,-0.155625412476144,-0.146064321330184,-0.149777091007664,-0.327759706313326,-0.137366904364137,-0.276530944000009,-0.115208343952769,-0.141892146403075,-0.131637367465264,-0.358357433249299,-0.10637053376924,-0.256939252244576,-0.156345888083098,-0.34869055549372,-0.158015158448732,-0.353213549821772,-0.128093178401211
"X_Pelargonium_capitatum",-0.208015484747809,0.0117749135625667,0.724140690286557,-0.0712265131438753,0.0069898636577908,0.00322104079556852,-0.0666784915966902,0.596754379829142,-0.0908357019081162,0.18750348939851,0.411585799316397,-0.140929459682732,-0.0595622850937334,-0.0136233231632336,-0.0393658204396746,-0.177610615276544,1,-0.0173405565567033,-0.15620035178522,0.203921944867499,-0.380896418389385,-0.582363430182956,0.182568835011037,0.405942601885329,-0.0505676217563203,-0.817173144448861,-0.693240594004038,0.509682562184549,-0.481662145374046,0.362008509247977,-0.00917103544050211,-0.903324052232053,-0.147333047358246,-0.165017999266191,0.342836812365515,-0.910042803332158,-0.178545053174114,0.187595437934349,-0.704985870849965
"X_Pennisetum_clandestinum",-0.0728081913185303,-0.0230833121868201,-0.0193319542204204,-0.0306008052943872,-0.0261492122647185,-0.031903563249733,-0.0213302625767301,-0.0206661707302523,-0.0363314304664171,-0.0221889114128561,-0.0768349705450258,-0.122890311851606,-0.100170120007956,-0.060137936611157,-0.0953530650643234,-0.065031903018331,-0.0173405565567033,1,-0.145056112400676,-0.107693718587905,-0.111055338125966,-0.20942781514946,-0.0710500234490419,-0.0541723150013222,-0.0155489305071442,-0.332469296185064,-0.239753091734798,-0.0126827451721395,-0.235392007166848,-0.0573568597115017,-0.146134854875082,-0.467247291804984,-0.0504942134938889,-0.0784711747013797,-0.0175565574450348,-0.448793429537066,-0.062343647005249,-0.0302712042736057,-0.275350928084673
"X_Phyla_nodiflora",-0.0538577767705214,-0.0832705135047619,-0.183074179961577,-0.13850614668897,-0.0807848964781619,-0.034556018830415,-0.17003272863976,-0.114570607383378,-0.488648982930756,-0.395931159333569,0.0216146165475725,-0.0230453827857786,-0.00180566594768924,-0.017703460136104,0.0115284043688622,-0.0798809494857489,-0.15620035178522,-0.145056112400676,1,0.0742811941773555,-0.324443679165254,-0.328581382151566,-0.0322926726505575,-0.00691136821459491,-0.373273828838031,-0.61726863455813,-0.277117649716705,-0.349058793358287,-0.0289363983839385,-0.0487748441841979,0.0397114466696201,-0.587953696508065,-0.214772828378868,-0.427374811263181,-0.167155941106354,-0.565555158821113,-0.295288014700914,-0.509991115687328,-0.124411191780362
"X_Rumex_crispus",-0.107332762273649,-0.0378719040092853,0.160632812031684,-0.105227743698402,-0.0228446608582798,0.0157276929307179,-0.161126205199643,0.209448029806645,-0.460885293416023,-0.237954276698927,0.37810217342954,-0.00880691128517608,0.0269641062945015,0.0179943914918232,0.0465666734727099,-0.132696551243667,0.203921944867499,-0.107693718587905,0.0742811941773555,1,-0.396335149347554,-0.452855080785783,0.162083395250698,0.348025850592449,-0.355508918358452,-0.845190095323751,-0.546168709821778,-0.0716468370101658,-0.119392014710272,0.267870182340871,0.0823072501534954,-0.852369983155522,-0.237077143875887,-0.440849253309193,0.104603739848835,-0.864392297293404,-0.319768812832663,-0.39567523897293,-0.315195490388386
