"","X_Arctotheca_calendula","X_Bromus_diandrus","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Euphorbia_terracina","X_Celery_like","X_Ficus_carica","X_Fumaria_capreolata","X_Fumaria_officinalis","X_Gladiolus_caryophyllaceus","X_Hypochaeris_glabra","X_Paspalum_distichum","X_Pelargonium_capitatum","X_Phyla_nodiflora","X_Phytolacca_octandra","X_Romulea_rosea","X_Rumex_pulcher","X_Solanum_sp","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Submerged_macrophyte","Acacia_cyclops","Acacia_saligna","Austrostipa_compressa","Banksia_prionotes","Baumea_articulata","Baumea_juncea","Conostylis_candicans","Cotula_coronopifolia","Dianella_divaricata","Dichopogon_capillepes","Haemodorum_sp_","Haloragis_brownii","Jacksonia_furcellata","Lepidosperma_longitudinale","Macrozamia_riedlei","Melaleuca_rhaphiophylla","Myoporum_caprarioides","Native_shrub","Persicaria_decipiens","Poaceae_sp","Podotheca_gnaphalioides","Ptilotus_stirlingii","Tetraria_octandra","Triglochin_sp","Viminaria_juncea"
"X_Fumaria_officinalis",-0.124526907303445,-0.188387279817727,-0.73313606746618,-0.00125178183172285,-0.547087271994037,-0.7523685022558,-0.655411267974601,-0.758441017426168,-0.662462350285283,-0.822948743153756,1,-0.63068353287976,-0.329963924508217,-0.272765617314606,-0.187387883626236,-0.601832912012797,-0.491125316774731,-0.714810476660399,-0.336128755276437,-0.44983219519819,-0.719405411049008,-0.0617430219859232,-0.766265144966503,-0.585015329494179,0.0208734434505985,-0.694731799103312,0.0136522583541815,-0.691352747307524,-0.290974683876368,-0.228193020131555,-0.758422897302469,-0.302583216321539,-0.480290736831671,-0.748508018918935,-0.597479194465327,-0.151055721712307,-0.838169965171467,-0.140170374766895,-0.760719566590381,-0.292629912184696,-0.179052551208376,-0.546296738495611,-0.848244441721387,-0.637863675313717,-0.738834892726934,-0.69921610969058,-0.129148038938092,-0.327948862097473,-0.644486812956936
"X_Gladiolus_caryophyllaceus",-0.0647635335722779,-0.768895346284199,-0.896232096025624,-0.438715415312128,-0.441843927878818,0.0535739525827523,-0.509054652645792,-0.640717217232992,-0.888632041966404,-0.771079749791662,-0.63068353287976,1,-0.216078851171421,-0.421228529330882,-0.663948822133344,-0.86775799085233,-0.737154203054352,0.0318598274972499,-0.137485508835553,-0.3651344476143,-0.755578311259834,-0.427913423953508,-0.596140479706049,-0.347778901153356,-0.616709068939488,-0.738598772307927,-0.415108705237223,0.102217158956342,-0.815301669292237,-0.784451107244697,0.06630395570308,-0.752980546123183,-0.0641729438112327,0.100452098043366,0.025761113980955,-0.27831183266028,-0.212446114963432,-0.833743979296023,0.0765510949185087,-0.459949482526989,-0.333266820139625,-0.0110807367053725,-0.467309712674812,-0.472618210981562,-0.455805812942484,0.0351039437538,-0.263487268406325,-0.429004462419642,-0.242574765326764
"X_Hypochaeris_glabra",-0.0258543017361679,-0.222168974345734,-0.126661046257301,-0.215870397639135,-0.0606287288425165,-0.209218173234079,-0.0561426629315656,-0.0348559638616334,-0.172612771861397,-0.0589371202786392,-0.329963924508217,-0.216078851171421,1,-0.0500034773497032,-0.172806653061586,-0.156915527117675,-0.0638901821033778,-0.212307278259331,-0.0792261870123313,-0.0209487736439378,-0.0597190759139122,-0.237537232656993,-0.0334586194996182,-0.0348369031528759,-0.367981929341144,-0.0695172748118981,-0.307620733721097,-0.240174815944472,-0.193223524542761,-0.209021384629644,-0.212982990240788,-0.124885134944098,-0.0915463286446909,-0.210568512978054,-0.205505831705007,-0.106683525022948,-0.0916372864701168,-0.238893045003546,-0.200592427433058,-0.0534751917860842,-0.11560560475983,-0.165792174541375,-0.038049675471177,-0.0247501664372468,-0.0278503941985851,-0.207400913387626,-0.115345871185381,-0.199664715531221,-0.0258131438192636
"X_Paspalum_distichum",-0.0647115750885593,-0.0733680155800914,-0.0318180752418243,-0.15261411058513,-0.032285629558307,-0.466486240744217,-0.115242357674625,-0.0581182267527829,-0.0218247214713177,-0.0658866746507269,-0.272765617314606,-0.421228529330882,-0.0500034773497032,1,-0.0687008681728916,-0.00959570652011756,-0.0297141033905357,-0.449191927999628,-0.126368497471605,-0.0452062446147356,-0.0770713165260918,-0.25831652047082,-0.0696720989698318,-0.0964304050850858,-0.317348832773319,-0.0510395499082564,-0.235510933528356,-0.472411021802515,-0.071972081632239,-0.0897758019020806,-0.467281304052449,-0.0450828367087075,-0.185868418226244,-0.47693659185497,-0.370951358610434,-0.121719916333566,-0.283852177672762,-0.118587272774505,-0.46314385264746,-0.0243514072285052,-0.139108467166293,-0.309304424396815,-0.136812250187444,-0.0439450169348808,-0.0863179008389063,-0.42478002269018,-0.0973803842081189,-0.25516333643616,-0.0998140440580789
"X_Pelargonium_capitatum",-0.183916877391087,0.182712182199556,0.06916954498955,-0.071536449427943,-0.128503453860139,-0.725622339698013,-0.41550942520684,-0.18851887166744,0.124168164352131,-0.196446637325218,-0.187387883626236,-0.663948822133344,-0.172806653061586,-0.0687008681728916,1,-0.00602179090762443,-0.0826929172523929,-0.711511525783813,-0.353463697059098,-0.157772497227705,-0.22388509033679,-0.316345878875821,-0.255345715409449,-0.352517442288458,-0.136883684937825,-0.101191828366601,-0.166474620058219,-0.729737051498277,0.206912290962426,0.202430086383061,-0.733834361525419,-0.0644290147179078,-0.490182775395692,-0.73313271586458,-0.663030277918889,-0.203150899951252,-0.640253921021734,0.252493128612396,-0.730468664959476,-0.0592701677956356,-0.215868705233682,-0.610862601467251,-0.458170826156993,-0.163523563302996,-0.354701819939441,-0.692219701221764,-0.128451949113275,-0.454977006611421,-0.346795221131442
"X_Phyla_nodiflora",-0.210476502219467,-0.0409771426956054,0.103535192813029,-0.29923009815658,-0.0412400583421262,-0.909770183056163,-0.358187297599386,-0.0746431182091313,0.112643687851578,-0.0278108887865498,-0.601832912012797,-0.86775799085233,-0.156915527117675,-0.00959570652011756,-0.00602179090762443,1,-0.0277338652782265,-0.916383046530734,-0.417824895636779,-0.0860438722231632,-0.124728452837397,-0.643703846189896,-0.110227717709451,-0.308095551292073,-0.619022183678024,0.00987283699893063,-0.547062831268432,-0.933195897067884,-0.00999460603764725,-0.0647903557006101,-0.927153879321536,-0.0646819189192118,-0.586689102148774,-0.930045024008366,-0.88128426933963,-0.385563503283211,-0.702467279393008,-0.102613678257338,-0.920594082140233,-0.0247663874882038,-0.361759672691889,-0.814465264450009,-0.361977157197753,-0.0842501565376293,-0.274910600142753,-0.918677137276764,-0.260420135175496,-0.716255808317696,-0.29167847724322
"X_Phytolacca_octandra",-0.0886806559222482,-0.0979218661281067,0.00769652624711929,-0.253040848575801,-0.0290947362402587,-0.784582876426609,-0.184625678970461,-0.0211241558715887,-0.00943070360527794,-0.0237783285637318,-0.491125316774731,-0.737154203054352,-0.0638901821033778,-0.0297141033905357,-0.0826929172523929,-0.0277338652782265,1,-0.785703780510565,-0.257459533335491,-0.0431191161798586,-0.0469962764557564,-0.445219630741718,-0.0456204943053679,-0.128044184978099,-0.511926781158395,-0.00827126619381005,-0.478361883167826,-0.828849548626256,-0.0514960625031683,-0.0749666658340848,-0.792976371789156,-0.0849138043848258,-0.382570036462357,-0.800477740555916,-0.748013541587624,-0.236384505242821,-0.444830616286164,-0.127987262728885,-0.801362777998321,-0.0156452160744774,-0.212462943486328,-0.530463318334562,-0.160338192788333,-0.0347718369871849,-0.113829614709953,-0.783704456581078,-0.177095758405126,-0.518604771040739,-0.139124981038457
"X_Romulea_rosea",-0.0634807861318592,-0.827884397244971,-0.918487237144197,-0.467459369702012,-0.475443000083577,0.0919861170221118,-0.561896718576732,-0.587659012335205,-0.920325616306311,-0.781784882055436,-0.714810476660399,0.0318598274972499,-0.212307278259331,-0.449191927999628,-0.711511525783812,-0.916383046530734,-0.785703780510565,1,-0.119072149029057,-0.372390136489488,-0.752982891378565,-0.508002317582677,-0.608154581009668,-0.34674686794717,-0.684435442767076,-0.752739316914448,-0.518238842105767,0.123632142951913,-0.85861414377525,-0.827922717654746,0.106829019678296,-0.786815759008725,-0.0575958327714039,0.119226056344819,0.0305432958243201,-0.330120678052997,-0.116161383075201,-0.875358980018403,0.104536938452572,-0.485150058774596,-0.341305099176448,-0.00163150894357487,-0.495430771862641,-0.455871413295354,-0.477454922680435,0.0739764339266128,-0.319977677840727,-0.497844380903733,-0.214896460525693
"X_Rumex_pulcher",-0.0247512413536133,-0.43031011325512,-0.503076106393197,-0.246063591461622,-0.209853867852285,-0.118724453832197,-0.17050999165902,-0.208795601066916,-0.459545915456217,-0.412777870785999,-0.336128755276437,-0.137485508835553,-0.0792261870123313,-0.126368497471605,-0.353463697059098,-0.417824895636779,-0.257459533335491,-0.119072149029057,1,-0.122097848242179,-0.3172047184603,-0.214674300835289,-0.210997366964099,-0.113057369460705,-0.329380419697565,-0.347319260522029,-0.293042971215554,-0.120867637962631,-0.414809471934959,-0.401865062746768,-0.126166425264273,-0.299563658305656,-0.0558124255011549,-0.113465362982404,-0.107381888182903,-0.131377760681888,-0.178924504202691,-0.454422764645114,-0.110318271932917,-0.183677114635244,-0.127030995401351,-0.0868372998444862,-0.188014162079673,-0.184142184418802,-0.140837519433321,-0.114343275677369,-0.103487330690625,-0.182235663818961,-0.117155298441946
"X_Solanum_sp",-0.0292499719738955,-0.19808252128104,-0.0333332898393234,-0.260254188264226,-0.0352476205050957,-0.367838023137944,-0.0612195551145663,-0.0120967386014426,-0.0713814502014378,-0.0133901661327728,-0.44983219519819,-0.3651344476143,-0.0209487736439378,-0.0452062446147356,-0.157772497227705,-0.0860438722231632,-0.0431191161798586,-0.372390136489488,-0.122097848242179,1,-0.0171340864656492,-0.408006383091862,-0.00917637281673932,-0.0377982461586975,-0.420835540971304,-0.0220185955950254,-0.431779694003132,-0.415270324121133,-0.132667108499792,-0.157944607491058,-0.328894577774392,-0.11516616750345,-0.151543220373975,-0.372120409055063,-0.346339961428573,-0.187761102687253,-0.0715079200759367,-0.203005137446951,-0.354918848205213,-0.0328987148562532,-0.167846817100222,-0.26562654200987,-0.0314758234772267,-0.00587698182321624,-0.0283510089498912,-0.37597673022154,-0.154792986916482,-0.363386961113816,-0.0199549911100628
"X_Solanum_nigrum",-0.0964814651930307,-0.300332469716602,0.0203186166193232,-0.388116551105647,-0.0384290339023711,-0.746515760027319,-0.169056401245596,0.00741681086230297,-0.0464084117947456,0.0527053177937498,-0.719405411049008,-0.755578311259834,-0.0597190759139122,-0.0770713165260918,-0.22388509033679,-0.124728452837397,-0.0469962764557564,-0.752982891378565,-0.3172047184603,-0.0171340864656492,1,-0.595872024334792,0.0102697907301922,-0.0761261436239443,-0.717512638417558,0.0100660055135863,-0.704049168486669,-0.758257197170605,-0.213160980217261,-0.235858592890946,-0.735806776741589,-0.209000330463509,-0.434664607786972,-0.73740045288665,-0.757218937839775,-0.345537804517862,-0.31205055366234,-0.296442233247104,-0.745601547766139,-0.0308971855780832,-0.347366269657634,-0.615930626942668,-0.0486524287730955,0.00177364297690715,-0.0359470635387752,-0.738981338978538,-0.34600719176508,-0.661745850221287,-0.094950005894196
"X_Sonchus_asper",-0.0516224694340976,-0.335348738676978,-0.767019979498188,-0.0705739070150245,-0.466257789095118,-0.521351921391695,-0.551850412222508,-0.67236157627414,-0.737594843591129,-0.801014103916902,-0.0617430219859232,-0.427913423953508,-0.237537232656993,-0.25831652047082,-0.316345878875821,-0.643703846189896,-0.445219630741718,-0.508002317582677,-0.214674300835289,-0.408006383091862,-0.595872024334792,1,-0.668402529228448,-0.403839989890076,-0.044132225987306,-0.692210921481767,-0.0945921832391848,-0.563366206472601,-0.398384294299457,-0.370297831036309,-0.546161764060822,-0.325961176703765,-0.327231570934821,-0.606590268455504,-0.407224456852593,-0.0745272104795507,-0.693813742401114,-0.342892364732773,-0.567425863245885,-0.313209363795499,-0.101209324682366,-0.345314868407253,-0.707485316236691,-0.549923520513493,-0.632715317034338,-0.519049678903676,-0.125090918319758,-0.228951088811571,-0.444647741616933
"X_Sonchus_oleraceus",-0.0636658063013499,-0.306257761087484,0.0232755382075294,-0.382957277159571,-0.0479051789627612,-0.579888091794306,-0.0824663187111274,0.0062683478263582,-0.0483870397705506,0.0500671790592308,-0.766265144966503,-0.596140479706049,-0.0334586194996182,-0.0696720989698318,-0.255345715409449,-0.110227717709451,-0.0456204943053679,-0.608154581009668,-0.210997366964099,-0.00917637281673932,0.0102697907301922,-0.668402529228448,1,-0.045394697131182,-0.733892152458274,0.00580086616774012,-0.672816270187753,-0.601515067553443,-0.154190916079912,-0.211674677319422,-0.552505522834546,-0.162656290296962,-0.307081593398191,-0.536221757688711,-0.622154504616914,-0.366638981547554,-0.0951437605356089,-0.301212570614322,-0.530905315090901,-0.0368605007805894,-0.384004688606126,-0.49857955243578,-0.0124554971155135,0.0051153944801003,-0.0113506269087555,-0.646255408759866,-0.297458339551387,-0.604274317806821,-0.0246551849442138
"X_Submerged_macrophyte",-0.0533025082250796,-0.423017215451045,-0.190167138393727,-0.337555484382806,-0.105401433775006,-0.355263693026386,-0.135846964753529,-0.0347050985795035,-0.286015384808388,-0.0773774937039257,-0.585015329494179,-0.347778901153356,-0.0348369031528759,-0.0964304050850858,-0.352517442288458,-0.308095551292073,-0.128044184978099,-0.34674686794717,-0.113057369460705,-0.0377982461586975,-0.0761261436239442,-0.403839989890076,-0.045394697131182,1,-0.572778194525234,-0.110832825959458,-0.522499927409023,-0.37757931420497,-0.298007238320666,-0.343177954230367,-0.376430987494238,-0.236576270980368,-0.156745438925377,-0.343574701769178,-0.354169253558663,-0.223458546199406,-0.183532953876267,-0.475911684493857,-0.374506333091383,-0.0871867679198226,-0.225167618333181,-0.258096636502365,-0.0393491970953916,-0.053185419437426,-0.06490367539399,-0.363841630606185,-0.19877377806131,-0.39523589875616,-0.0807847931006821
"Acacia_cyclops",-0.107028126960414,-0.115340541987614,-0.669189531745901,0.0166497689244016,-0.563635194349718,-0.76297628277232,-0.680902566346442,-0.73410092707639,-0.639669506228231,-0.837361500407464,0.0208734434505985,-0.616709068939488,-0.367981929341144,-0.317348832773319,-0.136883684937826,-0.619022183678024,-0.511926781158395,-0.684435442767076,-0.329380419697565,-0.420835540971304,-0.717512638417558,-0.044132225987306,-0.733892152458274,-0.572778194525234,1,-0.651757785358444,0.0497306100787466,-0.693571104618426,-0.22264887522321,-0.169682220965964,-0.736439156712484,-0.278941578356238,-0.489290513365875,-0.74121641497488,-0.601528829593957,-0.127545323697534,-0.858638798575402,-0.0641087850974921,-0.753378277658674,-0.26514742960471,-0.165966573583952,-0.522969137310662,-0.866291036022278,-0.643602165685436,-0.789003782185865,-0.650379881440086,-0.153636035428291,-0.33040090244797,-0.686093344879658
"Acacia_saligna",-0.114177596058689,-0.142294666322736,0.104025595587174,-0.34410115092832,-0.0115025066968413,-0.713051724264575,-0.191268690142745,0.0045665795051182,0.0737350300426644,0.0922709045965395,-0.694731799103312,-0.738598772307927,-0.0695172748118981,-0.0510395499082564,-0.101191828366601,0.00987283699893062,-0.00827126619381006,-0.752739316914448,-0.347319260522029,-0.0220185955950254,0.0100660055135863,-0.692210921481767,0.00580086616774012,-0.110832825959458,-0.651757785358444,1,-0.640606117581941,-0.743121719827801,-0.0669024303000596,-0.0961131210913482,-0.715238031566029,-0.153942901541644,-0.441854377754704,-0.725890895805013,-0.742135347969383,-0.483708076713105,-0.296098397668879,-0.168757078718143,-0.719466796062821,-0.0197733936242484,-0.437691188996225,-0.621993627772782,-0.0852763684612123,0.00226586782912823,-0.0747611185255847,-0.755024976230224,-0.349064397148074,-0.70052294920708,-0.0948261269890747
"Austrostipa_compressa",-0.0910811650707215,-0.197060404116135,-0.677701641281202,-0.00652988485893573,-0.400236878766544,-0.532798839858049,-0.540841902027946,-0.649385947203304,-0.583013839875142,-0.708508818113055,0.0136522583541815,-0.415108705237223,-0.307620733721097,-0.235510933528356,-0.166474620058219,-0.547062831268432,-0.478361883167826,-0.518238842105767,-0.293042971215554,-0.431779694003132,-0.704049168486669,-0.0945921832391848,-0.672816270187753,-0.522499927409023,0.0497306100787466,-0.640606117581941,1,-0.453217964437939,-0.284507070885118,-0.208213987935037,-0.517931501692094,-0.304585637531766,-0.37465768705205,-0.509486451862051,-0.403857384284747,-0.137711318810291,-0.672782141065754,-0.168133503244869,-0.528731095006665,-0.29306272636513,-0.193532256758237,-0.351654018593429,-0.716863043730222,-0.560504482063827,-0.661778251311045,-0.447861909544113,-0.0871574821459963,-0.22887464137328,-0.556779456942976
