"","X_Avena_barbata","X_Bromus_diandrus","X_Conyza_parva","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Euphorbia_peplus","X_Fumaria_capreolata","X_Hordeum_leporinum","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Pelargonium_capitatum","X_Rumex_crispus","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Unknown_shrub","X_Vicia_sativa","Acacia_saligna","Azolla_sp_","Banksia_littoralis","Centella_asiatica","Eucalyptus_rudis","Melaleuca_rhaphiophylla","Persicaria_decipiens"
"X_Rumex_crispus",-0.0272506759499719,-0.219506546640588,-0.118025947140707,-0.146422366347372,-0.307879198788645,-0.20697315266536,-0.234687526415006,-0.145810010956666,-0.372135944909046,-0.153026470802633,-0.0919484702925898,-0.0478541978174364,-0.139244136143066,1,-0.0446615813196147,-0.23989176549514,-0.155091667092216,-0.133071073923098,-0.261140596405978,-0.0508491389795093,-0.038826590185306,-0.0712785200833883,-0.248026153315305,-0.193041152981046,-0.205606949942624,-0.0806198074326469
"X_Sonchus_asper",-0.0282278534281933,-0.069266133848858,-0.0415794296297269,-0.148937160252156,-0.203844848447879,-0.21059520669344,-0.0595514966053977,-0.00431510014977296,-0.121041303542475,-0.0114853329764349,-0.026385392663632,-0.0577657859609488,-0.0601788038687487,-0.0446615813196147,1,-0.232262445614721,-0.0535618804632064,-0.0512037896849493,-0.15909337663342,-0.101899853206667,-0.0114617470533082,-0.00833829017406572,-0.198656125134774,-0.155566356057123,-0.280847451564047,-0.0498508680712504
"X_Sonchus_oleraceus",-0.0704249079071427,-0.338689875059304,-0.2892516903818,-0.306130383229285,-0.345721063300592,-0.356517431796747,-0.302620850540465,-0.294132337711101,-0.369042643013955,-0.180633590422843,-0.189004521084774,-0.121123462111527,-0.290489122874894,-0.23989176549514,-0.232262445614721,1,-0.365308122583905,-0.148547296044447,-0.365188120774982,-0.118337288819884,-0.0553047412491258,-0.245289718546652,-0.339193048771459,-0.646350659552858,-0.456424918517747,-0.483145128405611
"X_Symphyotrichum_squamatum",-0.0195757371843082,-0.227478989632243,-0.112372126631953,-0.0848903349063568,-0.308395680309534,-0.193194949287668,-0.519134876930473,-0.564604138644135,-0.374405438497114,-0.0387918635363934,-0.252685556939736,-0.127433948780973,-0.414081478649011,-0.155091667092216,-0.0535618804632064,-0.365308122583905,1,-0.0679659424745791,-0.100487941179879,-0.0394872037080445,-0.0195939740502143,-0.533768131190127,-0.0629281329072216,-0.116590741653817,-0.088827946912058,-0.0683410035454138
"X_Unknown_shrub",-0.0169601128229179,-0.256255941828651,-0.0350455486579448,-0.140680557039371,-0.231300713753441,-0.071319639159719,-0.214519466006363,-0.0865820148410868,-0.150354952881514,-0.115386946166982,-0.014797586250196,-0.0204353054444335,-0.0845569343575669,-0.133071073923098,-0.0512037896849493,-0.148547296044447,-0.0679659424745791,1,-0.208212542547338,-0.0478289039424006,-0.0494957661578377,-0.168816175329027,-0.429501459637924,-0.213863156848471,-0.364550869159093,-0.207878329938395
"X_Vicia_sativa",-0.0809238868008516,-0.0301305772942017,-0.258936308833688,-0.0756177657894774,0.11808042504381,0.0369127310942813,-0.234345175984602,-0.241459808378135,-0.26895901744112,-0.324518308259207,-0.0212881006039341,-0.00712023276995808,-0.112156627152714,-0.261140596405978,-0.15909337663342,-0.365188120774982,-0.100487941179879,-0.208212542547338,1,-0.0356881669968746,-0.0863752337995647,-0.408080186591564,-0.19788348426555,-0.381213294676281,-0.240161836471225,-0.519121331950562
"Acacia_saligna",-0.0120051039095607,-0.0766537852497529,-0.120412004516653,-0.0594377301977707,-0.0336616376002753,-0.0288527889928356,-0.116299530320167,-0.0967114376462664,-0.239221387727265,-0.134171504404607,-0.0204054235006032,-0.000963669661886822,-0.0224616211267794,-0.0508491389795093,-0.101899853206667,-0.118337288819884,-0.0394872037080445,-0.0478289039424006,-0.0356881669968746,1,-0.0351322909050164,-0.102142302209973,-0.0477019528305093,-0.050067731281322,-0.025326793808055,-0.224044961310603
"Azolla_sp_",-0.0102881455896502,-0.0772698241608077,-0.0168347673822866,-0.0681315051628276,-0.107611280151522,-0.111971926477264,-0.109912756372031,-0.0856454644871066,-0.0949155623494333,-0.00785791468404351,-0.0406645201275703,-0.0328029476780534,-0.0861805251803238,-0.038826590185306,-0.0114617470533082,-0.0553047412491259,-0.0195939740502143,-0.0494957661578377,-0.0863752337995648,-0.0351322909050164,1,-0.034133951053532,-0.0764460175146841,-0.0499447695963684,-0.0767938986337798,-0.0167126996359434
"Banksia_littoralis",-0.0621562393182687,-0.204814668609862,-0.294204349000841,-0.143089326735928,-0.231781326852187,-0.133231334791195,-0.0374420969611445,-0.0368109176111268,-0.266140063478195,-0.064378871085793,-0.0191183880317767,-0.103186379175513,-0.0680089895322829,-0.0712785200833883,-0.00833829017406572,-0.245289718546652,-0.533768131190127,-0.168816175329027,-0.408080186591564,-0.102142302209973,-0.034133951053532,1,-0.696897535894465,-0.585807249646909,-0.547845974764831,-0.238105116496591
"Centella_asiatica",0.00252469602566928,-0.538220318057108,-0.411178474955076,-0.431473912555711,-0.222108734080141,-0.328869003297075,-0.634872772772686,-0.801460532131202,-0.438495272976874,-0.0957939487127587,-0.285810315575409,-0.11157373241576,-0.406238649295372,-0.248026153315305,-0.198656125134774,-0.339193048771459,-0.0629281329072216,-0.429501459637924,-0.19788348426555,-0.0477019528305093,-0.0764460175146841,-0.696897535894465,1,0.0908159641493078,-0.345050708709026,-0.0978990334800132
"Eucalyptus_rudis",0.00666731133006765,-0.577312609927137,-0.350052925626016,-0.366921319227213,-0.297983407380823,-0.268910626432737,-0.639265324327914,-0.598288062625883,-0.707385721915964,-0.0446775899025343,-0.260574366052545,-0.24919068679918,-0.404085182179949,-0.193041152981046,-0.155566356057123,-0.646350659552858,-0.116590741653817,-0.213863156848471,-0.381213294676281,-0.050067731281322,-0.0499447695963684,-0.585807249646909,0.0908159641493078,1,-0.186793741740988,-0.0715346972475271
"Melaleuca_rhaphiophylla",-0.0616438632890107,-0.500420706539805,-0.416502182135402,-0.185161842415484,-0.117450075250081,-0.300138766633023,-0.640708409149081,-0.596692594721514,-0.675199012856628,-0.110129957107174,-0.21214278825971,-0.201498496397041,-0.338290326054816,-0.205606949942624,-0.280847451564047,-0.456424918517747,-0.088827946912058,-0.364550869159093,-0.240161836471225,-0.025326793808055,-0.0767938986337798,-0.547845974764831,-0.345050708709026,-0.186793741740988,1,-0.430948150488374
"Persicaria_decipiens",-0.00437998260501884,-0.570270129050319,-0.15952436055713,-0.49982446874973,-0.6716651736442,-0.765378753192359,-0.494495881507949,-0.652173133178056,-0.38807894490211,-0.087608803319346,-0.296975234631461,-0.188339350346778,-0.335093333099581,-0.0806198074326469,-0.0498508680712504,-0.483145128405611,-0.0683410035454138,-0.207878329938395,-0.519121331950562,-0.224044961310603,-0.0167126996359434,-0.238105116496591,-0.0978990334800132,-0.0715346972475271,-0.430948150488374,1
