"","X_Bromus_diandrus","X_Conyza_sp_","X_Cynodon_dactylon","X_Cyperus_sp_","X_Ehrharta_calycina","X_Ehrharta_longiflora","X_Fumaria_sp_","X_Geranium_molle","X_Lactuca_serriola","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Rumex_crispus","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Centella_asiatica","Dipogon_lignosus","Eucalyptus_rudis","Hardenbergia_comptoniana","Jacksonia_sternbergiana","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Sonchus_asper",0.126534438779563,0.0175484207796642,-0.284144180979432,-0.386177888348495,-0.284299915734024,0.118767888018683,0.0011788793991792,-0.235189999395194,0.0308128148113627,-0.00818386131994953,0.00814856017094336,-0.654050569389477,-0.0803761238050192,1,0.0717964492205868,-0.370770049048258,-0.386629866949596,-0.173122537951768,-0.504856942957426,-0.211968940769482,-0.0152021642738572,-0.330565213357991,-0.697805169119975,-0.11775454999055,-0.565667578101503,-0.193098238834521,-0.0404959519374676,0.0107251287429038,0.0705154859973993
"X_Sonchus_oleraceus",0.40000417159787,0.0585386329185617,0.124304375935415,-0.571556348648897,-0.112614323388832,0.410262780771278,0.00239824550572212,-0.376094508117803,-0.0161774389238742,0.317011748793299,-0.0190075198752899,-0.790571295135908,0.385007233196568,0.0717964492205869,1,-0.147376777440082,-0.044362986380131,0.360647846287517,-0.141444757773162,-0.353907373306135,0.155597333302257,-0.389942675685555,-0.77925381419356,0.397473672293006,-0.280482770911711,-0.0510359888613332,0.320945992155797,-0.0605699056307449,0.33454363963096
"X_Typha_orientalis",-0.243558287561934,-0.13350961517326,0.0269807381485942,-0.345319947656993,0.000199240373198864,-0.220189568132448,-0.145202957150468,-0.330528361276214,-0.38406939276704,-0.0533408717141503,-0.235429087718108,-0.460974173896757,-0.0165582091078536,-0.370770049048258,-0.147376777440082,1,0.0465818492348525,0.0152838037710955,0.0240893675171521,-0.313564085233256,-0.0645810759920783,-0.250674776094169,-0.353277836339437,-0.000573759763025205,0.0754699643428328,-0.0291802546547984,-0.0830095931754948,-0.355526376371272,-0.177280950508885
"Baumea_articulata",-0.166002466930616,-0.0438483361751323,0.151353986827081,-0.510707158280347,-0.00152474176533269,-0.137753626450027,-0.158583725948062,-0.453117078621809,-0.407530694793641,0.0736546678451982,-0.257005585318136,-0.682651198541119,0.178145876268997,-0.386629866949596,-0.044362986380131,0.0465818492348525,1,0.204387719890732,0.0437245612831421,-0.437796750311497,-0.00543579163441588,-0.362172284124705,-0.580908959341485,0.199839375087154,0.105596721624588,-0.0123010439555214,0.06901280110655,-0.423809742365919,-0.0661240226529599
"Baumea_juncea",0.229802277445191,0.0516263918109313,0.309593048867161,-0.687563492003577,-0.0248450535842939,0.245191551125626,-0.0619026642781191,-0.539909495703806,-0.258722224264568,0.423991191688972,-0.139709912502627,-0.832815646368131,0.702957357743502,-0.173122537951768,0.360647846287517,0.0152838037710955,0.204387719890732,1,0.0316989914815542,-0.503345888623119,0.157267244733184,-0.418651567297127,-0.799815223100168,0.824406293342805,0.0591651083899093,-0.016389016907416,0.386887991735174,-0.285308699645545,0.27172314075905
"Centella_asiatica",-0.349974459066711,-0.0987588679133853,0.0334377428545047,-0.551280444075594,-0.00379197341816277,-0.293807518211489,-0.173058523986259,-0.520424576721012,-0.567451587093959,-0.0383162792582166,-0.328870686385058,-0.751344503651661,0.0026926820191474,-0.504856942957426,-0.141444757773162,0.0240893675171521,0.0437245612831421,0.0316989914815542,1,-0.45580613940279,-0.0802114452828664,-0.322435577929327,-0.687505812411156,0.0231689893241758,0.0413420234166419,-0.0105444264527803,-0.0665294930683255,-0.512882860248961,-0.211024518193805
"Dipogon_lignosus",-0.239017790646888,-0.152329713389868,-0.451802729453793,-0.0690790404483326,-0.159957667652535,-0.227235511107202,-0.125773914080422,-0.0379333489842468,-0.187214840392665,-0.29124137082008,-0.122446609942973,-0.0937017880861991,-0.459591125143394,-0.211968940769482,-0.353907373306135,-0.313564085233256,-0.437796750311497,-0.503345888623119,-0.45580613940279,1,-0.214070208132918,-0.0903367794457962,-0.132621699021661,-0.49330133160568,-0.422416901701447,-0.261497297871117,-0.319289356982296,-0.105895016280874,-0.324738958465372
"Eucalyptus_rudis",0.0899862863468415,0.0209777599634258,0.0702684633392252,-0.308771959410929,-0.0550419979324698,0.100605236689135,-0.00968771572627064,-0.194505072496391,-0.0391226709294182,0.117277569725131,-0.029967835114859,-0.438806554994029,0.172714842266998,-0.0152021642738572,0.155597333302257,-0.0645810759920783,-0.00543579163441588,0.157267244733184,-0.0802114452828664,-0.214070208132918,1,-0.189771889355575,-0.449619986269055,0.173006306788312,-0.117162930045035,-0.0255291080150142,0.130652033564289,-0.0536693662315829,0.116165213570856
"Hardenbergia_comptoniana",-0.336618168821136,-0.187880756265186,-0.374811696424269,-0.135336680500518,-0.152504988579128,-0.309348558800281,-0.140918154383469,-0.108240349708509,-0.265406810825631,-0.302409685788302,-0.181308823932405,-0.279978922504434,-0.407886548824241,-0.330565213357991,-0.389942675685555,-0.250674776094169,-0.362172284124705,-0.418651567297127,-0.322435577929327,-0.0903367794457962,-0.189771889355575,1,-0.249605925742674,-0.414920703632473,-0.344348601884969,-0.187226185584385,-0.319322025502276,-0.203431614479546,-0.350636461989279
"Jacksonia_sternbergiana",-0.675271359451848,-0.600382558637035,-0.701553301983843,-0.114969707314717,-0.322028726201677,-0.637437548255873,-0.473354179605047,-0.143342821522787,-0.619090083535915,-0.605904741346054,-0.538917513703108,-0.276035001835089,-0.806483235923496,-0.697805169119975,-0.77925381419356,-0.353277836339437,-0.580908959341485,-0.799815223100168,-0.687505812411156,-0.132621699021661,-0.449619986269055,-0.249605925742674,1,-0.808145108185796,-0.485669720263512,-0.557085891042139,-0.702799565443019,-0.476378828152951,-0.760844299730367
