"","X_Aira_sp_","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Cerastium_glomeratum","X_Conyza_parva","X_Conyza_sp2","X_Cortaderia_selloana","X_Crassula_sp_","X_Ehrharta_longiflora","X_Exotic_sp1","X_Hypochaeris_glabra","X_Lactuca_serriola","X_Lotus_angustissimus","X_Lysimachia_arvensis","X_Medicago_sp_","X_Phytolacca_octandra","X_Polypogon_monspeliensis","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Symphyotrichum_squamatum","X_Trifolium__glomeratum_","X_Unknown_grass1","X_Unknown_grass2","Astartea_scoparia","Austrostipa_sp_","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_sp1","Callistachys_lanceolata","Cassytha_racemosa","Cotula_australis","Eucalyptus_rudis","Euchilopsis_linearis","Eutaxia_virgata","Hypocalymma_angustifolium","Hypolaena_exsulca","Isolepis_cernua","Juncus_pallidus","Kunzea_glabrescens","Lepidosperma_longitudinale","Lobelia_sp_","Loxocarya_sp_","Melaleuca_preissiana","Melaleuca_rhaphiophylla","Microtis_media","Nutsyia_floribunda","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp1","Pterostylis_sp2","Pultenaea_reticulata","Scaevola_alata","Senecio_sp_","Stylidium_repens","Trachymene_pilosa","Waitzia_suaveolens"
"Banksia_menziesii",-0.40573597604999,-0.0352558529963713,-0.52742402536237,-0.522779944478371,-0.877475233170398,-0.877304824613096,-0.942361169308924,-0.163693480482354,-0.690080791966432,-0.88902965689728,-0.44572206716238,-0.898105667842307,-0.844907641082271,-0.71383178095431,-0.599209929913373,-0.278178718338694,-0.844147944215553,-0.731764480134284,-0.727543744181466,-0.916385432236058,-0.458043891145579,-0.764886362265926,-0.135104116827567,-0.696051451770324,-0.5905321959239,-0.200349909082773,1,-0.77243596788586,0.348197377190794,-0.70934330801848,-0.961139666682902,0.0170100329903282,-0.522058515310107,-0.680885338909787,-0.194024879311765,-0.864004962460417,-0.0814110539667005,-0.348318497290927,-0.0955899151018557,-0.945430121551592,-0.456598925817893,-0.920695447126644,-0.696873096444598,0.393092819944432,-0.840713650911334,-0.902811293516998,-0.782413477882596,0.0399406231913878,0.0978298934061916,-0.921598692708662,-0.0840814188778689,-0.777226626662059,-0.0484408826600192,-0.732464573820981,-0.912488000258037,0.0673786684455024,-0.476500904720195,-0.241601910380445
"Baumea_articulata",-0.079032360704937,-0.312188664601918,-0.22850013115151,-0.103400344118242,-0.095367478693415,-0.301723471201962,-0.0616374627739948,-0.384420887972369,-0.259765999686561,-0.0651433880951035,-0.415568244647664,-0.115222721878007,-0.11438636143106,-0.190371999354941,-0.284676459528816,-0.29079349392694,-0.148188665995021,-0.151202539897271,-0.306362131310037,-0.399158385436741,-0.594126703028398,-0.141720171464786,-0.264215405074214,-0.180075721860336,-0.529804201230931,-0.102718758385795,-0.77243596788586,1,-0.778422051095392,-0.0970466779891377,-0.207892294991326,-0.625345625420327,-0.119532396995595,-0.0570903440901864,-0.781341049784647,-0.666915943387977,-0.750327101166004,-0.770058318274698,-0.662285476607428,-0.0703791410709708,-0.713725717443722,-0.0654910729604502,-0.0802696173606954,-0.819082259879994,-0.393813681929459,-0.35725716363888,-0.174593150014782,-0.804810836120726,-0.720792867039992,-0.515357959389962,-0.341532710850905,-0.301467638780655,-0.796387574189155,-0.0518062385110627,-0.112020847651884,-0.65798291058864,-0.374941061096946,-0.478353086601985
"Beaufortia_elegans",-0.474649044139961,0.00420468142714505,-0.539317860609562,-0.429762013463518,-0.858380872647875,-0.813548756252833,-0.937650935971388,-0.0475753741400503,-0.488555933819141,-0.871498455566621,-0.238934087082745,-0.859390334472811,-0.820023367482939,-0.775881491945501,-0.413269635978725,-0.143094375082673,-0.733915000465675,-0.743122840331573,-0.645608921468409,-0.833602875407763,-0.28683599644603,-0.682772909147228,-0.351716103319674,-0.676954575347187,-0.399694381765517,-0.164958988651208,0.348197377190794,-0.778422051095392,1,-0.712728329990248,-0.932323630654877,0.232321812015476,-0.409490665010529,-0.658966479245124,0.164559126204841,-0.675278271793486,0.221423286706728,-0.0604098199489571,0.0982249127877813,-0.935245929342251,-0.166252972426271,-0.9345682685072,-0.730588392722536,0.596851710908936,-0.729787656935052,-0.825507265550028,-0.799751193796352,0.35759741917748,0.388695001741269,-0.799791662521578,-0.16921921581413,-0.608402103230927,0.289777222892402,-0.747796157869538,-0.886799680747559,0.0694761382784774,-0.320927635923003,-0.0863878276361839
"Caladenia_sp1",-0.0574862407582304,-0.294551761265211,-0.256210751930011,-0.12035484087297,-0.180033406673834,-0.407587415426504,-0.141646096919278,-0.416089488102778,-0.338217052599389,-0.133297595639678,-0.513970449679577,-0.145647079152121,-0.176553397231345,-0.194623780295329,-0.347453065925202,-0.259927870224374,-0.244921723663626,-0.201325850393018,-0.325541956543045,-0.519170907826737,-0.65320073981438,-0.187637422527865,-0.268404617705218,-0.168390589794945,-0.597320762759576,-0.100997285660178,-0.70934330801848,-0.0970466779891377,-0.712728329990248,1,-0.358545666921843,-0.66102535726816,-0.126944986832912,-0.125892230786188,-0.784563203120472,-0.748530951591817,-0.759425674403692,-0.798556254168653,-0.683045802239898,-0.143867963858767,-0.752368081852732,-0.12038996399531,-0.0891180892312525,-0.76062562537376,-0.504111628231845,-0.489024523456473,-0.156943483672566,-0.782508144979707,-0.688756221242298,-0.592693680209996,-0.319064287115724,-0.37787650505379,-0.793278760297918,-0.111478835502516,-0.182593784472107,-0.585188339730321,-0.438776151805101,-0.513945023093673
"Callistachys_lanceolata",-0.267390847184016,-0.577565156549572,-0.517174153278227,-0.207454357148605,-0.0206489655466079,0.494887275564794,0.176560035146046,-0.704476427063834,-0.167391401015652,-0.0625429408851052,-0.427382984500313,-0.129828458126153,-0.260821398768593,-0.444018653384514,-0.184493703525964,-0.535844938890829,-0.0651156051860014,-0.412565631274753,-0.218628444399039,0.489948720184796,-0.63629458448748,-0.238545911665122,-0.626791440568283,-0.361800466530162,-0.200192492333318,-0.183964688706453,-0.961139666682902,-0.207892294991326,-0.932323630654877,-0.358545666921843,1,-0.805908820243664,-0.248839107373161,0.237149227968938,-0.841547471683189,0.0497005884292673,-0.801191060907223,-0.666357005310538,-0.810195593297161,0.159466939479693,-0.553347482605516,-0.00922274527823332,-0.189965770670617,-0.952903624950881,0.359737194354979,0.530483008974711,-0.377217287017819,-0.889119710479117,-0.873121752556831,0.375608190759699,-0.848148799085722,-0.289479882279397,-0.871192861763188,-0.121895031845126,-0.0167348053727535,-0.938321096676234,-0.336704532595006,-0.684734714250718
"Cassytha_racemosa",-0.473040980604846,-0.00258759491730041,-0.510601920288515,-0.319839629640053,-0.76954258001119,-0.648980610386243,-0.846969357060134,-0.0179213581405302,-0.266146457091569,-0.721654835244553,-0.0989810664306637,-0.760468971973169,-0.716075480657115,-0.742084380190391,-0.224817699810846,-0.0887405040480833,-0.530138119068811,-0.683794694278274,-0.472096454225592,-0.640797839827438,-0.0742945521636313,-0.493090494006407,-0.505830648651903,-0.630491316615675,-0.214188703737739,-0.136379194173061,0.0170100329903282,-0.625345625420327,0.232321812015476,-0.66102535726816,-0.805908820243664,1,-0.336243854012624,-0.554464304608648,0.242574581095429,-0.458208806595721,0.275771094413731,0.0780817809293259,0.090438220843994,-0.842207714153021,-0.0145881655950042,-0.844920026196988,-0.631320460025919,0.291923619623358,-0.536951845606024,-0.629941673683693,-0.724093126521962,0.357942674437861,0.242608896961324,-0.586188040154739,-0.342835760719538,-0.479669467410016,0.341463005414455,-0.60083499794748,-0.767230930511093,-0.0306604248814481,-0.150444395590963,-0.0340329503705743
"Cotula_australis",-0.0743245963404484,-0.143326210972474,-0.317390055880739,-0.0725823217012367,-0.190489814749086,-0.233000599675912,-0.197410868162747,-0.187998914392887,-0.158249121234069,-0.179978398698232,-0.2636961036775,-0.152057204894922,-0.163543616174211,-0.319676341661109,-0.179550759133058,-0.136437769777873,-0.134928693514487,-0.303431256453098,-0.184222826535276,-0.290997429174562,-0.297261868395745,-0.144132747282966,-0.291061194565106,-0.153264567303466,-0.313209005134175,-0.0764360757952972,-0.522058515310107,-0.119532396995595,-0.409490665010529,-0.126944986832912,-0.248839107373161,-0.336243854012624,1,-0.12278398250754,-0.403112694815077,-0.387059063095985,-0.375060968988568,-0.396404901376953,-0.314026539394135,-0.23772902255637,-0.379077786497586,-0.243644030191476,-0.107861905304474,-0.457422397865039,-0.285479322746079,-0.283158741176158,-0.236091262687335,-0.41301530876181,-0.389391378130971,-0.323445057331672,-0.30927075972457,-0.171077508543928,-0.398848812029541,-0.129819041294032,-0.164159746235274,-0.410121824474777,-0.20423732931703,-0.203635198210887
"Eucalyptus_rudis",-0.0970180079452706,-0.401305336127465,-0.257910133992454,-0.119706825128069,0.0410248690723432,0.0911244375822395,0.216909898519406,-0.472848765931908,-0.165011456851152,0.00462270359964708,-0.332698166774569,-0.00731024535583197,-0.0850552469805111,-0.170599107188902,-0.194887405051362,-0.367597875173317,-0.0397783032533141,-0.163212881685256,-0.116709422726399,0.0105982397574749,-0.443215921509476,-0.136947399307286,-0.346025252191323,-0.154654557804665,-0.279544741418248,-0.0990819271280562,-0.680885338909787,-0.0570903440901864,-0.658966479245124,-0.125892230786188,0.237149227968938,-0.554464304608648,-0.12278398250754,1,-0.612270792791061,-0.255996893281012,-0.575134409465177,-0.524375233668672,-0.556943433014796,0.205903872253308,-0.482889684986436,0.117406047127049,-0.0755963600601385,-0.672115006739478,-0.0293284007603065,0.0632690094228189,-0.184238814007312,-0.630745048719395,-0.60838073074785,-0.0817575275432956,-0.488391712928838,-0.196818316676922,-0.617015314349507,-0.029264486393198,0.0651025999250263,-0.619977027715135,-0.266748822752507,-0.460221707854893
"Euchilopsis_linearis",-0.567832265055611,-0.0256070072331086,-0.661808483534575,-0.390636502359536,-0.865581916102073,-0.605243509070234,-0.950151291639051,-0.00926626894513283,-0.174421237408192,-0.854897988170464,0.0529803785537924,-0.863602204319354,-0.823415663060559,-0.87616714572772,-0.165973275750801,-0.0965611710836635,-0.520063551281661,-0.805671948561386,-0.523406804456904,-0.527173351497327,0.0328336731497956,-0.56212126366745,-0.667356804471423,-0.744600391698473,0.0527429873179547,-0.165185219122091,-0.194024879311765,-0.781341049784647,0.164559126204841,-0.784563203120471,-0.841547471683189,0.242574581095429,-0.403112694815077,-0.612270792791061,1,-0.154415278436465,0.541894952812347,0.446254291014236,0.149117789952457,-0.944883430360689,0.337485685824787,-0.95185089944765,-0.751834209045438,0.231241148116684,-0.39164527451598,-0.554894274096206,-0.876332128987292,0.534754342448145,0.242309693607061,-0.435790308629477,-0.50727293858312,-0.422476799474162,0.558702241492988,-0.714752397320253,-0.882948913268522,-0.125679770867825,-0.0306731514738392,-0.0214717502332839
"Eutaxia_virgata",-0.569747629607984,-0.232589012349718,-0.836030729505638,-0.387211065044003,-0.665352879983098,0.119772610242183,-0.656638794272032,-0.260683003308342,-0.0845053170700119,-0.656072663744743,-0.129995952020731,-0.646429187712905,-0.745270952112243,-0.879468788157985,-0.0740493970014272,-0.355953270335274,-0.190815039085371,-0.849049998185443,-0.42194746316057,0.470145860172004,-0.11173191988566,-0.459513581308131,-0.918700265100623,-0.733440288176732,0.419202243811372,-0.219508423319607,-0.864004962460417,-0.666915943387977,-0.675278271793486,-0.748530951591817,0.0497005884292673,-0.458208806595721,-0.387059063095985,-0.255996893281012,-0.154415278436465,1,-0.105777401760147,0.201007117435975,-0.263541513607182,-0.672352442023759,0.28363795072443,-0.778078754032502,-0.636732430846763,-0.666734439336163,0.419370352247229,0.37703828761894,-0.853841447748741,-0.245223325799046,-0.58068813155841,0.632036843163021,-0.891466185244063,-0.324677512810055,-0.175838917031717,-0.511959917920658,-0.627159316872611,-0.762676689623075,-0.0846543373323252,-0.252009242491543
"Hypocalymma_angustifolium",-0.569982498657158,-0.0194320647443808,-0.617173299667716,-0.38016820206695,-0.831759058083614,-0.585055931021655,-0.914213024857068,-0.00870167895670396,-0.169819249320991,-0.82034625501096,0.0627191466075443,-0.835614733208183,-0.784867908222296,-0.829091374450292,-0.151123039026242,-0.0945612406092912,-0.505362026210272,-0.773803846657886,-0.509878783827121,-0.486577046374053,0.0396316603950921,-0.507714354791762,-0.626116450046567,-0.732857036873388,0.0776566964768687,-0.167886400944919,-0.0814110539667005,-0.750327101166004,0.221423286706728,-0.759425674403692,-0.801191060907223,0.275771094413731,-0.375060968988568,-0.575134409465177,0.541894952812347,-0.105777401760147,1,0.574319855859914,0.157152886354743,-0.906145236323411,0.410395476979643,-0.913986770119156,-0.73946541579054,0.328812184845075,-0.372695594390112,-0.517488604764098,-0.842473724007704,0.672433184824765,0.288070625827609,-0.388138347024955,-0.459442708759804,-0.437085180186027,0.713857508597393,-0.67635850711192,-0.843795065104752,-0.0957670556123194,-0.0214858841114715,-0.0175205687013641
"Hypolaena_exsulca",-0.597227886424973,-0.0566439509264661,-0.722503418464662,-0.394974874583563,-0.838060027309303,-0.4157817868414,-0.906629716297077,-0.0273904246064674,-0.103106641705423,-0.822762313673041,0.0891683748341984,-0.824989417893009,-0.818381412984031,-0.882458194835661,-0.0889946448847177,-0.140135568023002,-0.396330427797448,-0.824271312714602,-0.483694055890834,-0.274258815085489,0.0510227505947539,-0.53060909632271,-0.784056674790213,-0.774874358926342,0.299206155326192,-0.17833325801178,-0.348318497290927,-0.770058318274698,-0.0604098199489571,-0.798556254168653,-0.666357005310538,0.0780817809293259,-0.396404901376953,-0.524375233668672,0.446254291014236,0.201007117435975,0.574319855859914,1,0.123683806288901,-0.912985398493452,0.595273954124859,-0.924222452265882,-0.781243503719399,0.049366467635198,-0.147342895675445,-0.296500237916686,-0.872658341248106,0.528438098958603,0.0595119982339938,-0.115843038264847,-0.636429259085233,-0.3807635875573,0.584366344390543,-0.69038575034642,-0.836886534795785,-0.295038099094384,0.0202802913214062,-0.0309495069413855
"Isolepis_cernua",-0.496906418600103,-0.0167388366367783,-0.595604793837174,-0.306957858924605,-0.805619908319802,-0.599064665843474,-0.910927166793522,-0.0166955997662166,-0.186465461547022,-0.767558472929079,-0.0112004601856106,-0.800909031322439,-0.751803233247813,-0.804838622194626,-0.153284237742201,-0.0755094151943698,-0.507514131340745,-0.731325162202915,-0.445621240462198,-0.564115179588918,-0.018275213436286,-0.46109358784347,-0.566753983482287,-0.649028089086939,-0.0691747758102806,-0.141500690198646,-0.0955899151018557,-0.662285476607428,0.0982249127877813,-0.683045802239898,-0.810195593297161,0.090438220843994,-0.314026539394135,-0.556943433014796,0.149117789952457,-0.263541513607182,0.157152886354743,0.123683806288901,1,-0.913061601921256,0.0829194230666767,-0.912320217766722,-0.635968322787152,0.130113097621709,-0.440955298821081,-0.577207724472815,-0.803951390174507,0.164930380775548,0.130689255102715,-0.476034051547286,-0.388012333274585,-0.415829518405431,0.17853429531179,-0.611680836496875,-0.824530619291758,-0.0668724777725885,-0.0615324491114095,-0.021536013739492
