"","X_Avena_barbata","X_Avena_fatua","X_Azolla_filiculoides","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_sp_","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_terracina","X_Ficus_carica","X_Lactuca_sp_","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Eucalyptus_rudis","Jacksonia_furcellata","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Pseudognaphalium_luteoalbum","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Ficus_carica",0.000102668804828192,-0.144855297243957,-0.542645770040664,0.351973316927994,0.228268335912624,0.14620547869767,-0.0370470134556429,-0.310478152286836,0.317402440925875,-0.452512482891699,1,0.265040637220809,0.275773906623192,0.302420876461693,-0.0557111373663287,0.292779349528736,-0.0457005729544506,-0.40258904734046,-0.493544553911573,-0.16561968680271,0.0134120667134217,-0.755692631122315,0.0285770936500439,0.0412576710850229,-0.39232076480391,-0.0183058077254961,0.29142591250334,0.0223300619800335,0.0261683765457502
"X_Lactuca_sp_",0.000613270099243229,-0.156605015746895,-0.588768683965103,0.415298859434756,0.199351132296203,0.157020223217707,-0.0536301478355954,-0.346965012814094,0.390803219321458,-0.482989186778609,0.265040637220809,1,0.277511951461198,0.337282558544869,-0.137481462605606,0.351105068881013,-0.0538662820424795,-0.416342473831153,-0.502470788913138,-0.267160117229125,-0.0303365210957324,-0.778028006843964,-0.0480864729907516,-0.0567331884508605,-0.491726986897242,-0.0456391110550982,0.289053789948632,0.0149814074476337,0.0146415781173507
"X_Pelargonium_capitatum",-0.0341975325690251,-0.0665036813306107,-0.278172673704474,0.64519119837379,0.659083125182626,0.21470160347231,0.0382742885133861,-0.206862517388871,0.547884103961083,-0.3423454619053,0.275773906623192,0.277511951461198,1,0.446616342839485,0.302168295886945,0.362931128536457,-0.0331750965163263,-0.336169229350563,-0.368909261815453,0.169220848707439,0.322818013216439,-0.734839855242368,0.260010693260923,0.463273771952588,-0.0638083128456941,0.0236155560915682,0.616446453772166,0.0409615156021093,0.0632372155561433
"X_Phytolacca_octandra",-0.00128295938713366,-0.134353770201078,-0.481639269014904,0.549309862945109,0.413435305936867,0.193236354334685,0.00358590190760556,-0.300985658267139,0.514525288472844,-0.469527637868753,0.302420876461693,0.337282558544869,0.446616342839485,1,0.0234693835140257,0.421389895315328,-0.0426488941481825,-0.402339680119255,-0.463472528245526,-0.0914190883387015,0.114187760542934,-0.78787052216506,0.115191987256937,0.14476821526514,-0.331698458947951,-0.00836221323814893,0.455293811193111,0.0369609073495298,0.0466806148102462
"X_Solanum_nigrum",-0.154171518580753,0.00561958378256586,-0.0408545783752269,0.148903017011142,0.476302492239438,0.0706897770177116,0.041941748228248,-0.0867189345419287,0.0638467233230003,-0.233569717313195,-0.0557111373663287,-0.137481462605606,0.302168295886945,0.0234693835140257,1,-0.143038450230776,-0.0636059731876495,-0.220220270497453,-0.209062456245343,0.353919851879074,0.366869582804566,-0.599661790625466,0.301151311854806,0.565734303988887,0.235811768400439,-0.00128506483170954,0.34512873462511,-0.0244242365273467,0.0234213980771059
"X_Sonchus_asper",0.000686266489519764,-0.169488046229864,-0.594713266048523,0.534842665221529,0.247184565501256,0.15470068918442,-0.0509276135109579,-0.34658096608839,0.497557190802514,-0.495308536873391,0.292779349528736,0.351105068881013,0.362931128536457,0.421389895315328,-0.143038450230776,1,-0.0499081802999294,-0.414037941747476,-0.514608300719598,-0.247387385830126,-0.032801478138463,-0.796839579483814,-0.0199100738695426,-0.0271177206446293,-0.478181619473609,-0.0379698220775788,0.326953138533997,0.0210909845139269,0.0195401805928092
"X_Sonchus_oleraceus",-0.0114101024532571,-0.0289569108016837,-0.118375619922364,-0.0419598096543136,-0.0394301910203856,-0.0362293708638856,-0.0269423701079495,-0.0667146832347705,-0.0400658455305179,-0.104010275037556,-0.0457005729544506,-0.0538662820424795,-0.0331750965163262,-0.0426488941481825,-0.0636059731876495,-0.0499081802999294,1,-0.122151600539903,-0.14826314532204,-0.0775651421060425,-0.0418152803050898,-0.197957347496514,-0.0476239712980446,-0.0630709330013952,-0.127936651976032,-0.0212695173808503,-0.0337847693503669,-0.019575740720222,-0.0315563789698423
"X_Typha_orientalis",-0.11549821496963,-0.0556452973885688,-0.0199026260950974,-0.416023358645262,-0.333104495084176,-0.37911869523263,-0.185315281523119,-0.159537618962587,-0.395820263021227,-0.219865044006993,-0.40258904734046,-0.416342473831153,-0.336169229350563,-0.402339680119255,-0.220220270497453,-0.414037941747476,-0.122151600539903,1,0.0139128791636232,-0.215923539999281,-0.234627194484036,-0.174861277087239,-0.271649950113808,-0.266191910679781,-0.100245276922639,-0.261295128860018,-0.35328625471895,-0.283810069912293,-0.319034732651427
"Baumea_articulata",-0.153386061003437,-0.0491214644620425,-0.0108151062450979,-0.480940566852406,-0.344090799142878,-0.432595303268277,-0.165672237086173,-0.128709751577868,-0.459630015285349,-0.220438879601976,-0.493544553911573,-0.502470788913138,-0.368909261815453,-0.463472528245526,-0.209062456245343,-0.514608300719598,-0.14826314532204,0.0139128791636232,1,-0.191040176284754,-0.245941342808794,-0.211327688641529,-0.275333406197741,-0.250323566277292,-0.064978545844524,-0.275479130155462,-0.390837568265382,-0.309866776953633,-0.339918926893157
"Baumea_juncea",-0.174671173733536,0.00616135395401385,-0.0409088815661978,-0.0453235330032616,0.310205216340414,0.00264782936107665,0.0378774606895888,-0.0655256164077131,-0.0807304475174315,-0.246642420067009,-0.16561968680271,-0.267160117229125,0.169220848707439,-0.0914190883387015,0.353919851879074,-0.247387385830127,-0.0775651421060425,-0.215923539999281,-0.191040176284754,1,0.26508307239329,-0.618672334927422,0.224931167430462,0.41583123425562,0.232879697356999,-0.0156862901371411,0.174571775839446,-0.0676369202154014,-0.000974516052025177
