"","X_Avena_barbata","X_Avena_fatua","X_Azolla_filiculoides","X_Bromus_diandrus","X_Carpobrotus_edulis","X_Conyza_sp_","X_Cynodon_dactylon","X_Ehrharta_calycina","X_Ehrhata_longiflora","X_Euphorbia_terracina","X_Ficus_carica","X_Lactuca_sp_","X_Pelargonium_capitatum","X_Phytolacca_octandra","X_Solanum_nigrum","X_Sonchus_asper","X_Sonchus_oleraceus","X_Typha_orientalis","Baumea_articulata","Baumea_juncea","Eucalyptus_rudis","Jacksonia_furcellata","Lepidosperma_longitudinale","Melaleuca_rhaphiophylla","Persicaria_decipiens","Pseudognaphalium_luteoalbum","Rhagodia_baccata","Solanum_symonii","Spyridium_globulosum"
"X_Ficus_carica",0.272420089290286,0.159483277232022,0.0553433998259159,0.913887544021858,0.813411082178757,0.894275250106079,0.53270474594488,0.463500076964102,0.878096808466152,0.61578458408753,1,0.900390765871931,0.812382048210814,0.898286814196681,0.573184151161397,0.905737532687198,0.339836408378241,-0.0695258612410502,-0.0573241208457226,0.563783295362366,0.628464456987553,0.53480409751597,0.698096866388534,0.668834892585651,0.218703709137168,0.741583492910248,0.858706491690869,0.739093365377161,0.811836880748734
"X_Lactuca_sp_",0.291861972652538,0.139763450312706,0.0428832255594481,0.932124137038318,0.799743239233821,0.907961799899573,0.493921008339195,0.426031692725039,0.891254214992554,0.592709121346833,0.900390765871931,1,0.816562331154359,0.921343275898603,0.538404588595915,0.932169850633465,0.313027867103147,-0.0688994666480775,-0.062877738732997,0.546702990211662,0.63361685390548,0.53539592296643,0.693041157752022,0.629370754881461,0.139156825981815,0.727275332472127,0.867379695863567,0.741274088295733,0.828772672010321
"X_Pelargonium_capitatum",0.223029281859517,0.235822008928277,0.221408600897465,0.888886845171965,0.898313598670194,0.888865296349267,0.71793288666278,0.625741763545607,0.840240601883992,0.76676349490847,0.812382048210814,0.816562331154359,1,0.862681425867717,0.759844347378116,0.828813025346722,0.343078717298062,-0.0564745571144806,-0.00104139849199704,0.767237719566599,0.7720165695764,0.642603417781577,0.826364003627547,0.849610560206979,0.491581560264462,0.805937091821274,0.898495805026589,0.795202714720918,0.878148032479125
"X_Phytolacca_octandra",0.307291984717867,0.180677485515792,0.080502181720307,0.937276345675945,0.857342200653202,0.91965700954229,0.593122304753971,0.536636681567689,0.898158091933841,0.674934932064597,0.898286814196681,0.921343275898603,0.862681425867717,1,0.633663094838144,0.916321928934557,0.341187984995459,-0.0876930871392345,-0.0591451154149444,0.642700279665452,0.696257649154958,0.571018078902984,0.763992394701336,0.736952154843062,0.277007730107376,0.787093503000361,0.892712176934715,0.78697556388667,0.877327125654768
"X_Solanum_nigrum",0.0873936764837196,0.297632715908878,0.575737330608727,0.685772051173218,0.840053227069565,0.763617348261768,0.723201558250784,0.67165406062035,0.644951311224273,0.763637949064257,0.573184151161397,0.538404588595915,0.759844347378116,0.633663094838145,1,0.555514788890564,0.253441671942247,0.132360353784188,0.245258365898477,0.874442109276499,0.825632776319227,0.634197197654892,0.804785867794243,0.907525757565573,0.812640155287819,0.746830133261915,0.797721094557615,0.619777024704779,0.819501571874706
"X_Sonchus_asper",0.312959691435293,0.147906436419299,0.0351006565072467,0.926830631738892,0.801321756935415,0.902440118619689,0.496169750847,0.445030703528609,0.888619430434905,0.6084434676727,0.905737532687198,0.932169850633465,0.828813025346722,0.916321928934557,0.555514788890564,1,0.337961221494243,-0.0847431799015258,-0.0655864735701597,0.543391168427399,0.619461227778998,0.532344271482545,0.690899654655688,0.643502782937209,0.149020774893314,0.733111867348528,0.860829590029645,0.778442313380979,0.835197495387913
"X_Sonchus_oleraceus",0.0572444951489665,0.0460821206178311,0.0708771573983404,0.373728606208718,0.351324717037454,0.34520928202463,0.153241861722542,0.136793647497829,0.348786246429568,0.167936123802297,0.339836408378241,0.313027867103147,0.343078717298062,0.341187984995459,0.253441671942247,0.337961221494243,1,0.0241758516973373,0.0373248155799501,0.229628630559191,0.266222354244653,0.117181016688765,0.279788006866467,0.310181064704153,0.158992391343429,0.194626225392113,0.359014752757996,0.190182328896736,0.26879275561101
"X_Typha_orientalis",0.000454582193465663,0.069036199559693,0.246444631228114,-0.103861860073176,-0.0106334438850421,-0.033830059695659,0.0512806768848296,0.158004634377015,-0.103980892367173,0.228358404754978,-0.0695258612410502,-0.0688994666480775,-0.0564745571144806,-0.0876930871392345,0.132360353784188,-0.0847431799015258,0.0241758516973373,1,0.225788123653516,0.183804402390061,0.0696266674318982,0.329323594686341,0.0805244637837385,0.0978011249881944,0.268555242148902,0.0414219284038255,-0.0478689543752389,0.00121929885668123,0.0201309661204433
"Baumea_articulata",-0.000149462608912291,0.104529335123348,0.361558162086588,-0.0621331987542018,0.050445009598255,-0.0144251590006433,0.0827225379969997,0.232110295026248,-0.0633669413633477,0.300462934459343,-0.0573241208457226,-0.062877738732997,-0.00104139849199704,-0.0591451154149444,0.245258365898477,-0.0655864735701597,0.0373248155799501,0.225788123653516,1,0.338588078638435,0.170943333104379,0.388824003735829,0.165806448261559,0.243060434565599,0.449040523605957,0.0854089849307472,0.00984090310122012,0.0118014084129954,0.0810725847122539
"Baumea_juncea",0.0763833001312932,0.301010062314019,0.609059108596683,0.690645974681202,0.858148417975334,0.77019794959997,0.73846908868036,0.70111889154408,0.643825623953728,0.773587848432259,0.563783295362366,0.546702990211662,0.767237719566599,0.642700279665452,0.874442109276499,0.543391168427399,0.229628630559191,0.183804402390061,0.338588078638435,1,0.825446623909382,0.647576632117198,0.830533898510137,0.925274101074932,0.853974767984798,0.757149090359798,0.818300436519832,0.616624894175434,0.852209534861727
