"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"29","intercept","-1.22296291558477","-1.88146225818082","-0.393906524003168","0.546849948239917","-0.4471517012259","-0.334068378482253","-0.653764675785802","-0.240173849848828","boral","X_Fumaria_capreolata"
"30","meanGW","0.00984676431135013","-0.456725151164543","0.321639310038911","NaN","NaN","NaN","NaN","NaN","boral","X_Fumaria_capreolata"
"31","intercept","-1.34802208121817","-2.23513976387851","-0.306448017432445","0.662015568820683","-0.49110142782115","-0.282953241240577","-0.758853092003473","-0.263109166852818","boral","X_Galium_murale"
"32","meanGW","0.318048859069473","-0.00254410276617657","0.594853478309783","NaN","NaN","NaN","NaN","NaN","boral","X_Galium_murale"
"33","intercept","-4.03839585184099","-5.74988279982179","-1.89216847005632","1.37011596802558","-0.339272329482257","-0.271756068564443","-0.504800896190141","-0.18192228542521","boral","X_Geranium_molle"
"34","meanGW","0.328346295502199","0.143283425920845","0.522262280638812","NaN","NaN","NaN","NaN","NaN","boral","X_Geranium_molle"
"35","intercept","0.117102943074135","-0.497885066559254","0.68319955527242","0.372018999020851","3.17685439199708","1.51962062631598","6.37340679637731","1.63101996930525","boral","X_Hypochaeris_glabra"
"36","meanGW","0.331062590508204","0.0760710600988507","0.627875132633354","NaN","NaN","NaN","NaN","NaN","boral","X_Hypochaeris_glabra"
"37","intercept","-2.19191058765181","-4.28466197253106","-1.33841250658392","1.01318827235978","-0.462239782073049","-0.226281862155808","-0.523957041097355","-0.215056739447732","boral","X_Lysimachia_arvensis"
"38","meanGW","0.254311093243479","-0.130481454774789","0.725780212619965","NaN","NaN","NaN","NaN","NaN","boral","X_Lysimachia_arvensis"
"39","intercept","-1.00145234991131","-1.98690089692827","0.298685356145296","0.863158764282698","-0.86190697376579","-0.624732060065033","-1.35384741927772","-0.457023168965768","boral","X_Pelargonium_capitatum"
"40","meanGW","0.487695492914961","0.055567513161408","0.983914996636099","NaN","NaN","NaN","NaN","NaN","boral","X_Pelargonium_capitatum"
"41","intercept","-0.911007795767971","-1.7402303676486","-0.00419466018278238","0.598252882983448","-0.656693483593219","-0.269444040665567","-0.995190781930024","-0.34653270323723","boral","X_Poa_annua"
"42","meanGW","0.218603437338951","-0.145365416703787","0.524996961035378","NaN","NaN","NaN","NaN","NaN","boral","X_Poa_annua"
"43","intercept","-4.33662658304491","-5.4059250951191","-2.44301596519371","1.00601932072696","-0.231982002937545","-0.130634201144815","-0.377491575890023","-0.119184249045124","boral","X_Rumex_crispus"
"44","meanGW","0.31144729759148","-0.0978619964995718","0.743906843375832","NaN","NaN","NaN","NaN","NaN","boral","X_Rumex_crispus"
"45","intercept","-3.47143307944144","-4.58304507930089","-2.30317507676367","0.810722628252237","-0.233541194572785","-0.153045074239361","-0.331077129523572","-0.12660342236035","boral","X_Senecio_vulgare"
"46","meanGW","0.427245762811073","-0.0465720378681162","0.752362853365173","NaN","NaN","NaN","NaN","NaN","boral","X_Senecio_vulgare"
"47","intercept","-0.257025914151624","-1.14649098221994","0.228068923843802","0.495644027295882","-1.92838153667062","-2.03473220068466","-1.49665384615663","-0.991684830311731","boral","X_Solanum_nigrum"
"48","meanGW","0.0696720261821054","-0.18674203470992","0.243571155207379","NaN","NaN","NaN","NaN","NaN","boral","X_Solanum_nigrum"
"49","intercept","-1.13793561566087","-1.81243420253353","-0.259371769699407","0.484803123977837","-0.426037393773182","-0.149234085328122","-0.749617702453224","-0.219312212174017","boral","X_Sonchus_asper"
"50","meanGW","0.194117426429079","-0.0358636350339149","0.333524112416756","NaN","NaN","NaN","NaN","NaN","boral","X_Sonchus_asper"
"51","intercept","0.105740321684378","-0.420667682172946","0.394542822212868","0.312092237285173","2.95149695323162","1.94359874917667","-31.2043971003696","1.51618316924389","boral","X_Sonchus_oleraceus"
"52","meanGW","0.0281251687324987","-0.11488989487443","0.137423315483454","NaN","NaN","NaN","NaN","NaN","boral","X_Sonchus_oleraceus"
"53","intercept","-1.0763980302345","-2.01309477234495","-0.159254213434971","0.594639151107639","-0.552434261681151","-0.252540682810006","-0.853380635913069","-0.289592056344222","boral","X_Trifolium_sp_"
"54","meanGW","0.3465238229136","0.120779835019491","0.650783855879158","NaN","NaN","NaN","NaN","NaN","boral","X_Trifolium_sp_"
"55","intercept","-2.69844433251951","-3.77954463617566","-1.07954249451281","0.990426610698677","-0.367036146998788","-0.295397740272103","-0.555660367687274","-0.193651834385781","boral","X_Vulpia_bromoides"
"56","meanGW","0.283084825106757","0.020251478542591","0.683263167841984","NaN","NaN","NaN","NaN","NaN","boral","X_Vulpia_bromoides"
"57","intercept","-1.65822623359616","-3.28220586420739","-0.612004114009203","0.919827737301886","-0.554705816773308","-0.352413320395194","-0.685685097910679","-0.289263212594357","boral","Acacia_cyclops"
"58","meanGW","0.295107587174098","-0.0202237411438011","0.522284232023334","NaN","NaN","NaN","NaN","NaN","boral","Acacia_cyclops"
"59","intercept","-2.26686025246976","-3.52657709433545","-0.110474477810561","1.2167086382146","-0.536737382416489","-0.284102706570758","-0.939250529931102","-0.279738736670708","boral","Acacia_saligna"
"60","meanGW","0.303357729310638","-0.0956722912959182","0.525973040873569","NaN","NaN","NaN","NaN","NaN","boral","Acacia_saligna"
"61","intercept","-2.62406605316169","-3.0607597977617","-2.01286867165664","0.347134170657617","-0.132288655706423","-0.0445919779140848","-0.206536827129007","-0.0679647567201989","boral","Banksia_littoralis"
"62","meanGW","0.244414237796813","0.0430095473748112","0.449165521954846","NaN","NaN","NaN","NaN","NaN","boral","Banksia_littoralis"
"63","intercept","0.364609955389363","-0.281315833484134","0.634935309312982","0.305622705111142","0.838218212623324","0.110715140517739","2.59106527051293","0.338602405571036","boral","Baumea_articulata"
"64","meanGW","0.0685569636800161","-0.210523547623907","0.36816139300377","NaN","NaN","NaN","NaN","NaN","boral","Baumea_articulata"
"65","intercept","-1.55047994686214","-2.57055279067462","-0.466983220255962","0.734634491036664","-0.473811023820989","-0.369369785058586","-0.692524981711808","-0.253895553762973","boral","Baumea_juncea"
"66","meanGW","0.353841699045472","0.0814933597580089","0.57372440101527","NaN","NaN","NaN","NaN","NaN","boral","Baumea_juncea"
"67","intercept","-1.13311895679237","-1.81706011017832","-0.564366520995186","0.440664271911378","-0.388894978121989","-0.317285942608496","-0.526026530813522","-0.206948454059938","boral","Baumea_vaginalis"
"68","meanGW","-0.0308511488483479","-0.632528287402275","0.399498525986999","NaN","NaN","NaN","NaN","NaN","boral","Baumea_vaginalis"
"69","intercept","-1.94278078250883","-2.66941402769367","-1.01294456945712","0.618344734527992","-0.318278181509231","-0.249039419328644","-0.449839257783918","-0.166960399855383","boral","Cassytha_sp_"
"70","meanGW","0.388984531929769","0.124516420815751","0.700452909267482","NaN","NaN","NaN","NaN","NaN","boral","Cassytha_sp_"
"71","intercept","-1.8085760787061","-3.04866188226647","-0.636424646609034","0.813535024837679","-0.449820737107007","-0.283968270043445","-0.65459446250602","-0.243336812153375","boral","Centella_cordifolia"
"72","meanGW","0.254750769634316","-0.0383603138050719","0.607580131734524","NaN","NaN","NaN","NaN","NaN","boral","Centella_cordifolia"
"73","intercept","-2.33713702833038","-3.81995195943944","-1.53036724176268","0.795103094885037","-0.340203884174069","-0.230258118078062","-0.427934228141442","-0.171742217956666","boral","Daucus_glochidiatus"
"74","meanGW","0.371251712166987","0.208678973628313","0.546787472797821","NaN","NaN","NaN","NaN","NaN","boral","Daucus_glochidiatus"
"75","intercept","1.18654794496135","0.941725637195386","1.40222917843963","0.17251887692003","0.145395622362018","0.103521676780154","0.196464342304094","0.0781327204384231","boral","Eucalyptus_gomphocephala"
"76","meanGW","0.0495737339585462","-0.0516546511057867","0.1293847580359","NaN","NaN","NaN","NaN","NaN","boral","Eucalyptus_gomphocephala"
"77","intercept","0.610197731735057","-0.418504598341088","1.37486300693987","0.7008210920256","1.14851474461051","0.960525525341167","1.87520451449633","0.605613393486793","boral","Eucalyptus_sp_"
"78","meanGW","0.346711587833965","0.210161165660214","0.537536228352063","NaN","NaN","NaN","NaN","NaN","boral","Eucalyptus_sp_"
"79","intercept","-1.58143490844521","-2.58360182069152","-0.211329994189027","0.783131004036854","-0.495202805916804","-0.174973671736092","-0.848776279218061","-0.250133838344293","boral","Juncus_pallidus"
