"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"21","intercept","-4.56104432560453","-7.13546464171632","-2.68370604599221","1.15531179869433","-0.253299840172284","-0.16824278010488","-0.453374193942544","-0.141281710681605","boral","X_Ficus_carica"
"22","meanGW","-0.861302099509731","-1.90628628069873","0.076682689726713","NaN","NaN","NaN","NaN","NaN","boral","X_Ficus_carica"
"23","intercept","-5.4374193077447","-8.49883355543659","-3.3857016174981","1.32937033486414","-0.244485528818915","-0.158672048437706","-0.430234070036067","-0.135089293906993","boral","X_Lactuca_sp_"
"24","meanGW","-1.91833020857827","-3.17918426548179","-0.948633200595907","NaN","NaN","NaN","NaN","NaN","boral","X_Lactuca_sp_"
"25","intercept","-1.76708632471464","-3.00257281976209","-0.7776392395075","0.566965462213561","-0.320847631654396","-0.214590656090967","-0.588573748078168","-0.178793221191064","boral","X_Pelargonium_capitatum"
"26","meanGW","-1.18706389963795","-1.79337725167628","-0.714066901970097","NaN","NaN","NaN","NaN","NaN","boral","X_Pelargonium_capitatum"
"27","intercept","-4.65150134876743","-7.07327709129745","-2.58659059407202","1.16025970229906","-0.249437679429355","-0.167176620536911","-0.46446666179712","-0.139943300681703","boral","X_Phytolacca_octandra"
"28","meanGW","-1.57500710332729","-2.63442797701215","-0.673555742261002","NaN","NaN","NaN","NaN","NaN","boral","X_Phytolacca_octandra"
"29","intercept","-0.814254003919476","-1.85424313363805","0.130111421452729","0.502610793456544","-0.617265363187883","-0.393825416128893","-1.15092979327875","-0.344716146053201","boral","X_Solanum_nigrum"
"30","meanGW","-0.32509354091191","-1.16466830431565","0.405719590716472","NaN","NaN","NaN","NaN","NaN","boral","X_Solanum_nigrum"
"31","intercept","-5.21821327322009","-7.83427564373289","-3.10436476053332","1.26571867254371","-0.24255786535966","-0.164136177959549","-0.432403910211259","-0.136127056118055","boral","X_Sonchus_asper"
"32","meanGW","-1.89746816558965","-3.12092899373216","-0.989890567435596","NaN","NaN","NaN","NaN","NaN","boral","X_Sonchus_asper"
"33","intercept","-5.50741631401023","-8.3684894971014","-3.14134292546115","1.37899877810552","-0.250389420279979","-0.170000195376854","-0.454146192553903","-0.139839179219976","boral","X_Sonchus_oleraceus"
"34","meanGW","-1.57551047026789","-2.71053158039291","-0.564558248430752","NaN","NaN","NaN","NaN","NaN","boral","X_Sonchus_oleraceus"
"35","intercept","1.46801591833454","1.12617391262449","1.7659810831241","0.168894618425121","0.115049582443719","0.0742851288116629","0.221221605149139","0.0642031577798291","boral","X_Typha_orientalis"
"36","meanGW","0.615549778070975","0.369882647696199","0.902413991933928","NaN","NaN","NaN","NaN","NaN","boral","X_Typha_orientalis"
"37","intercept","-0.247279427104169","-1.26018186527803","0.724551026345145","0.481533821520023","-1.94732666263082","-1.29464138258753","-3.70541191313271","-1.08302353299016","boral","Baumea_articulata"
"38","meanGW","-0.251051379471194","-0.903416767191527","0.381684703520713","NaN","NaN","NaN","NaN","NaN","boral","Baumea_articulata"
