"","X_Aira_caryophyllea","X_Briza_maxima","X_Ehrharta_calycina","X_Hypochaeris_glabra","X_Poa_annua","X_Sonchus_oleraceus","X_Ursinia_anthemoides","Adenanthos_cygnorum","Aotus_gracillima","Astartea_scoparia","Austrostipa_compressa","Banksia_attenuata","Banksia_ilicifolia","Banksia_menziesii","Baumea_articulata","Beaufortia_elegans","Caladenia_flava","Comesperma_virgatum","Dasypogon_bromeliifolius","Dielsia_stenostachya","Dryandra_sp_","Hibbertia_sp_","Hibbertia_subvaginata","Hypolaena_exsulca","Isolepis_cernua","Kunzea_glabrescens","Melaleuca_preissiana","Microtis_sp_","Patersonia_occidentalis","Podotheca_gnaphalioides","Pteridium_esculentum","Pterostylis_sp_","Pultenaea_reticulata","Regelia_inops","Restionaceae_sp_","Rhodanthe_chlorocephala_subsp__rosea","Schoenus_sp_","Stylidium_repens","Thysanotus_manglesianus","Trachymene_pilosa","Xanthorrhoea_preissii"
"Austrostipa_compressa",-0.0182661400482558,-0.0167728783091065,-0.0142437334124043,-0.010465945051478,-0.0160280352736539,-0.0305106396637171,-0.00428698371886456,-0.0134745548260577,-0.0140732894667295,-0.0210814619801543,1,-0.0123266528815325,-0.0120919915550253,-0.00703626132068712,-0.0105926939611498,-0.0231942224430542,-0.0234258267351103,-0.0313517626774524,-0.014951287163599,-0.0110233550984824,-0.010549870730406,-0.0190202711674002,0.00359830540533862,-0.00976301477848101,-0.00382973745561625,-0.00259461800405279,-0.00974835988478689,-0.0342384720366994,-0.0243265095781896,-0.0476069176979348,-0.00997245886982735,-0.0200571175170399,-0.0348409578210905,-0.00721828571748074,-0.004964844630837,-0.00847388337500636,-0.00712611740611916,-0.0110394605706358,-0.0246106236461608,0.0045537502588728,-0.0159949451706571
"Banksia_attenuata",-0.00751932148583697,0.0126443418695885,0.00147266341703003,-0.114982732059262,-0.114502509181039,-0.25356421898935,-0.00482925057360386,-0.29545583959779,-0.141743940083082,-0.0135493500696898,-0.0123266528815325,1,0.0181858940094907,-0.0699202733492613,-0.199580971375935,-0.119208521995458,0.00549494396743803,-0.185048637739908,0.0264851317719494,-0.0313583123673503,-0.0315325393724564,-0.231304759296957,-0.0194170679235375,0.000507791154510571,0.00703140425825206,-0.0351872710991682,-0.0106068646173736,-0.165464462599695,-0.210666682381334,-0.149140826736766,-0.189235415666647,-0.116580403887195,-0.281387600941787,-0.0202026453325904,0.00132773441442185,-0.0379066965656613,-0.0534929098264432,-0.00264049080130328,-0.0108147477388678,-0.00938736799904154,-0.0095970066425771
"Banksia_ilicifolia",0.000145092504698671,0.00511803847789557,0.000675567713600635,-0.0362822006049942,-0.041058924081704,-0.051309533817588,0.00284507513999113,-0.122117480629996,-0.0804915162685671,-0.0227395132625785,-0.0120919915550253,0.0181858940094907,1,-0.0945687861257231,-0.111596158891863,-0.0631221894780257,0.00472098214295531,-0.113452481909626,0.019534860728843,-0.0823099587910708,-0.0201997068594051,-0.119501634701783,-0.037390395845278,0.000137093076211608,0.00469209470234667,-0.0929712878588318,0.0196903973193847,-0.11735543471509,-0.0294464064075056,-0.0755465260363364,-0.0769041770558011,-0.0655449097113182,-0.102019562960297,-0.0322984851569572,-0.00197550691783887,-0.0030721616778682,-0.0489674521477493,0.00243422174318488,-0.00361242589845443,0.010379137375134,-0.0267080279542644
"Banksia_menziesii",0.00190682451706191,-0.0655125137648934,-0.0492513313996494,-0.0631008806926987,-0.0520195127180618,-0.0930289036247084,-0.128350945191706,-0.0310885736038828,-0.0441681439895945,-0.0636657385978381,-0.00703626132068712,-0.0699202733492614,-0.0945687861257231,1,-0.0362876424667289,-0.0743609507320079,-0.0225449225004022,-0.113268123058017,-0.0982230478778959,-0.0287058103020894,-0.00351501664089021,-0.0127941106139736,-0.0938922438991594,-0.112366117032534,-0.0462805540638103,-0.00136666881791018,-0.0783042826469034,-0.126440649933458,-0.0926863874663911,-0.142944481154715,0.00686564265149154,-0.0738870200383422,-0.116720780849204,-0.100388914855083,-0.0539340115047995,-0.0871843625367758,-0.020130013560865,-0.0775874466298329,-0.141282864941694,-0.040028003958942,-0.0538090885298779
"Baumea_articulata",-0.0263846578718003,-0.105196616459674,-0.0691237687228017,-0.137431790755185,-0.0146572220000797,-0.0217332015800817,-0.234067417748655,-0.00727379090466662,-0.00493613798000903,-0.163092867128581,-0.0105926939611498,-0.199580971375935,-0.111596158891863,-0.0362876424667289,1,-0.0261229408759482,-0.0739745201043516,-0.0210772421931308,-0.164486147782517,-0.0379188791435661,-0.0344589595646744,-0.0192313952739548,-0.17948230862492,-0.149384120731946,-0.156506398738311,-0.104210702535427,-0.154110429050541,-0.0191731729573358,-0.138061136884317,-0.15634638455215,-0.0109867240885778,-0.0301536499284345,-0.0345719460713695,-0.21285755469973,-0.0762580794933668,-0.0269402507901129,-0.00113012034869891,-0.124775078263318,-0.22130442203084,-0.0672036690561015,-0.047780452837435
"Beaufortia_elegans",-0.11208884710666,-0.0572400903293622,-0.030041718461195,-0.0953087621141524,-0.0212376434405167,-0.0123444116658589,-0.114906401869343,-0.0978155880747655,-0.078708521464876,-0.105251394535165,-0.0231942224430542,-0.119208521995458,-0.0631221894780257,-0.0743609507320079,-0.0261229408759482,1,-0.141938138207221,-0.0387023611902788,-0.0564844874918906,-0.0216693619128179,-0.0719771043743722,-0.0445577573058277,-0.0977113184570481,-0.0240407943473493,-0.0113718091845357,-0.145510095802009,-0.0861276691891563,-0.0186890036112843,-0.0227671783480021,-0.0791791434199381,-0.0700435712072351,-0.0162925097928708,-0.0244937864710923,-0.0441689581698884,-0.029119148712721,-0.00805759556328721,-0.0297773941675044,-0.0484655544557951,-0.0786888912872291,-0.0646817966128573,-0.0381704500780201
"Caladenia_flava",0.00234939682273287,0.0129984715643463,-0.0264761636125282,-0.0565007828236168,-0.0534915184991019,-0.165810423564767,0.00445572513496169,-0.0364137678407529,-0.0569909733177842,-0.0175520046168471,-0.0234258267351103,0.00549494396743803,0.00472098214295531,-0.0225449225004022,-0.0739745201043516,-0.141938138207221,1,-0.13777057470538,0.011522156054544,-0.0244841567334348,-0.0137198439059327,-0.114466516327742,-0.00168760746546424,-0.00543351764243359,-0.00550213121761318,-0.0109104717224974,0.0253088583617039,-0.135756322475923,-0.157190065169668,-0.11868054857173,-0.0327021786000616,-0.0834574080851221,-0.167721685497456,-0.00449106069781749,-0.00897304929850735,-0.0224715373726227,-0.0300256104343275,-0.00276343741211293,-0.0175398453642127,-0.00915263173290587,-0.00810479194211481
"Comesperma_virgatum",-0.0647491421978842,-0.0872508810474254,-0.0251220823559625,-0.109308061410663,-0.0221724882213497,-0.0226897235317362,-0.160489333060748,-0.0108155502251787,-0.0159236912659187,-0.150166205474731,-0.0313517626774524,-0.185048637739908,-0.113452481909626,-0.113268123058017,-0.0210772421931308,-0.0387023611902788,-0.13777057470538,1,-0.121497655164713,-0.0415210449677778,-0.0934022121989763,-0.0633663996163165,-0.154843852254227,-0.0512797110336536,-0.0597147527885809,-0.133314491049023,-0.134700433682713,-0.00787609944652247,-0.0541422838212071,-0.016378561246333,-0.0234298946998706,-0.00417289574345851,-0.0292418633132943,-0.175269398073375,-0.039686103338918,-0.0245006775706191,-0.00683911930210684,-0.131985666176178,-0.144595335789526,-0.0911588714073936,-0.0340063818341482
"Dasypogon_bromeliifolius",-0.00568757667028265,0.0174769537119919,0.0065572949585412,-0.0552293937174262,-0.0698587090639083,-0.167251792207484,-0.00728707337167391,-0.17955173563061,-0.107413767885918,-0.0279132464975579,-0.014951287163599,0.0264851317719494,0.019534860728843,-0.0982230478778959,-0.164486147782517,-0.0564844874918906,0.011522156054544,-0.121497655164713,1,-0.0304325368264291,-0.0305119414891113,-0.122100135987262,-0.0196671873945057,-0.00293519333973637,0.00998723304622086,-0.0870337642429913,-0.0067478782145702,-0.109719967849871,-0.087814219475975,-0.0672955280450004,-0.107145645806556,-0.0743098556046185,-0.193301008441799,-0.0293437404911459,0.00482881251244193,-0.00935870930598694,-0.0344641917552803,0.00606477069902933,-0.00121668264165294,-0.0179093163848602,-0.0128380102720172
"Dielsia_stenostachya",-0.0178091808936043,-0.0826784901285833,-0.00475078118684502,-0.0679742662712791,-0.0191371526757909,-0.0417669067953512,-0.0305505389675119,-0.0519154850621486,-0.0578515390278522,-0.00886606656231065,-0.0110233550984824,-0.0313583123673503,-0.0823099587910708,-0.0287058103020894,-0.0379188791435661,-0.0216693619128179,-0.0244841567334348,-0.0415210449677778,-0.0304325368264291,1,-0.00649861320974983,-0.0211018008686616,-0.0140430026296048,-0.01623683507435,-0.0149528409824718,-0.089689704828375,-0.130950223619623,-0.0414610238721833,-0.0295596124513328,-0.0203962757370107,-0.0380679540776694,-0.022750714621582,-0.0443431576692433,-0.0271954625823497,-0.0197155346938576,-0.0549174867291626,-0.00659113649165896,-0.0552036389429401,-0.0395870439228959,-0.0840804910995805,-0.00315571470021115
